Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420290,28,128,20,364,81,19,6,257,1,8,166,358,2014,201407,119719
421830,6,47,2,145,1,25,6,66,0,0,0,0,2014,201407,18843
421175,0,9,0,44,10,0,0,5,0,4,0,9,2014,201407,17593
420830,17,55,3,226,32,9,1,181,0,0,0,0,2014,201407,55016
420320,46,507,36,1422,112,70,35,475,0,4,8,7,2014,201407,72261
421570,12,187,29,462,102,19,8,253,0,13,47,90,2014,201407,21572
420110,0,0,0,2,0,6,5,19,0,0,9,8,2014,201407,3256
421540,0,10,6,16,3,3,0,4,0,0,0,11,2014,201407,4536
420630,0,2,0,15,3,0,0,3,0,0,0,0,2014,201407,21046
420530,0,8,1,22,36,0,0,15,0,0,6,32,2014,201407,10784
421220,4,105,10,293,26,29,1,256,2,2,2,0,2014,201407,18681
420130,1,15,1,52,36,7,1,5,0,1,1,0,2014,201407,31030
421725,2,18,0,20,4,0,0,10,0,0,2,90,2014,201407,5256
420460,0,96,3,306,99,54,28,8,0,0,0,0,2014,201407,204667
420210,32,182,13,396,75,21,15,189,0,3,55,76,2014,201407,25662
421000,10,136,8,358,137,54,20,359,0,0,202,237,2014,201407,11653
421630,46,206,22,674,133,29,10,727,0,5,32,56,2014,201407,31534
421840,0,2,0,8,0,0,0,0,0,0,0,0,2014,201407,7052
421165,0,0,0,3,0,0,1,3,0,0,0,0,2014,201407,2643
420665,0,0,0,0,0,0,0,0,0,0,0,5,2014,201408,4743
420287,5,2,2,32,4,0,1,41,0,0,0,0,2014,201408,2690
420370,38,1,32,0,16,0,0,40,0,0,0,0,2014,201408,11452
420400,0,0,0,2,0,0,0,0,0,0,0,0,2014,201408,10244
420530,0,3,0,8,18,0,0,6,0,0,0,0,2014,201408,10784
421220,2,124,4,329,10,16,3,131,0,2,0,0,2014,201408,18681
420130,0,16,0,76,58,1,1,2,0,0,1,1,2014,201408,31030
421660,26,6,0,0,0,0,0,0,0,0,0,0,2014,201408,228561
420600,0,2,0,0,0,0,0,0,0,0,0,0,2014,201408,13801
421725,0,6,0,8,6,0,0,22,0,0,0,32,2014,201408,5256
420460,0,46,1,123,48,27,13,4,0,0,1,0,2014,201408,204667
421530,0,0,0,2,0,0,0,0,0,0,0,0,2014,201408,7573
420750,3,8,1,0,0,0,0,0,0,0,0,0,2014,201408,61968
420210,14,138,19,355,55,7,7,146,0,4,24,89,2014,201408,25662
421000,4,40,14,178,100,28,4,180,0,0,51,83,2014,201408,11653
421280,0,28,0,22,40,0,0,108,0,0,0,0,2014,201408,19976
421630,30,149,15,446,73,19,10,632,0,4,36,47,2014,201408,31534
421165,0,0,0,1,0,0,0,0,0,0,0,0,2014,201408,2643
421550,0,0,0,2,0,0,0,1,0,0,0,0,2014,201408,16413
420830,18,60,8,255,22,1,1,219,0,0,7,20,2014,201408,55016
420320,88,467,32,1329,111,54,19,549,0,0,2,0,2014,201408,72261
421570,24,175,30,531,88,26,15,329,0,12,133,156,2014,201408,21572
420110,0,3,0,15,5,3,2,43,0,0,6,5,2014,201408,3256
421540,18,12,2,30,10,2,2,28,0,0,0,36,2014,201408,4536
420630,0,1,0,0,0,0,0,0,0,0,0,0,2014,201408,21046
420915,0,11,2,24,1,0,0,87,0,0,0,0,2014,201408,4850
420290,57,273,49,719,152,43,10,534,0,13,126,254,2014,201408,119719
421830,13,46,6,120,2,19,5,59,0,0,0,0,2014,201408,18843
420230,20,81,6,2,0,0,0,8,0,0,0,0,2014,201408,63440
421175,2,25,7,82,8,11,1,32,0,0,0,2,2014,201408,17593
420980,4,2,2,4,0,0,1,10,0,0,0,2,2014,201408,3258
420130,2,24,1,53,27,1,1,12,0,0,0,0,2014,201409,31030
421220,6,118,8,273,7,4,0,145,3,0,2,2,2014,201409,18681
420915,0,5,0,26,2,0,0,63,0,0,0,0,2014,201409,4850
420290,40,218,32,533,134,41,7,538,0,10,121,232,2014,201409,119719
421830,6,32,11,157,4,18,5,60,0,0,0,0,2014,201409,18843
421175,3,71,13,215,17,44,8,31,0,1,1,7,2014,201409,17593
420980,8,1,5,6,0,0,0,20,0,0,0,2,2014,201409,3258
421725,0,6,0,17,11,3,0,9,0,0,0,86,2014,201409,5256
420460,0,50,0,103,32,33,23,1,0,3,0,0,2014,201409,204667
420210,22,123,11,285,60,10,6,153,0,0,63,119,2014,201409,25662
421000,0,39,2,127,106,9,6,199,0,0,26,27,2014,201409,11653
421280,0,12,2,22,31,3,2,148,0,0,0,0,2014,201409,19976
421630,20,187,15,499,78,26,23,718,2,1,15,37,2014,201409,31534
421550,0,3,0,2,1,1,0,0,0,0,0,0,2014,201409,16413
420830,9,71,1,264,44,16,2,132,2,0,0,2,2014,201409,55016
420320,38,590,36,1706,122,67,21,669,0,5,7,8,2014,201409,72261
421570,13,55,8,143,26,7,6,144,0,3,5,4,2014,201409,21572
420110,0,5,0,11,2,2,2,54,0,0,12,13,2014,201409,3256
421540,0,10,5,28,8,0,2,14,0,0,0,0,2014,201409,4536
421020,0,0,0,1,0,0,0,4,0,0,0,0,2014,201409,3389
420287,2,0,0,2,0,0,1,3,0,0,0,0,2014,201409,2690
420830,22,80,6,337,60,21,6,117,0,0,0,0,2014,201410,55016
421570,16,103,6,194,39,10,3,119,0,2,36,26,2014,201410,21572
420320,37,471,32,1386,168,44,20,598,0,5,12,30,2014,201410,72261
420110,0,0,0,0,0,1,3,20,0,0,158,159,2014,201410,3256
421020,0,6,1,6,1,0,0,8,0,0,0,0,2014,201410,3389
421540,0,28,19,53,6,6,0,10,0,0,0,0,2014,201410,4536
